Gene stable ID	Chromosome/scaffold name	Transcription start site (TSS)	Gene name
ENSG00000235109	6	28356271	ZSCAN31
ENSG00000235109	6	28336165	ZSCAN31
ENSG00000235109	6	28336198	ZSCAN31
ENSG00000235109	6	28335451	ZSCAN31
ENSG00000235109	6	28335936	ZSCAN31
ENSG00000235109	6	28341751	ZSCAN31
ENSG00000235109	6	28354186	ZSCAN31
ENSG00000235109	6	28354204	ZSCAN31
ENSG00000235109	6	28336375	ZSCAN31
ENSG00000198911	22	41833105	SREBF2
ENSG00000125533	20	63007035	BHLHE23
ENSG00000131931	8	42843325	THAP1
ENSG00000131931	8	42843305	THAP1
ENSG00000170260	7	149239651	ZNF212
ENSG00000154957	17	11997510	ZNF18
ENSG00000154957	17	11997372	ZNF18
ENSG00000154957	17	11997457	ZNF18
ENSG00000154957	17	11997475	ZNF18
ENSG00000154957	17	11992917	ZNF18
ENSG00000140044	14	75427716	JDP2
ENSG00000140044	14	75428046	JDP2
ENSG00000140044	14	75428357	JDP2
ENSG00000140044	14	75432134	JDP2
ENSG00000140044	14	75428217	JDP2
ENSG00000189042	19	36687628	ZNF567
ENSG00000189042	19	36689400	ZNF567
ENSG00000189042	19	36711240	ZNF567
ENSG00000169951	16	30558263	ZNF764
ENSG00000169951	16	30558498	ZNF764
ENSG00000165066	8	41647359	NKX6-3
ENSG00000165066	8	41650669	NKX6-3
ENSG00000175329	22	35066136	ISX
ENSG00000175105	3	88139112	ZNF654
ENSG00000204531	6	31170693	POU5F1
ENSG00000204531	6	31180731	POU5F1
ENSG00000204531	6	31166838	POU5F1
ENSG00000204531	6	31167170	POU5F1
ENSG00000204531	6	31165942	POU5F1
ENSG00000163320	3	88059048	CGGBP1
ENSG00000163320	3	88057309	CGGBP1
ENSG00000163320	3	88059068	CGGBP1
ENSG00000163320	3	88149885	CGGBP1
ENSG00000163320	3	88149815	CGGBP1
ENSG00000129028	15	70892785	THAP10
ENSG00000060138	12	10723307	YBX3
ENSG00000060138	12	10723312	YBX3
ENSG00000093167	3	37176360	LRRFIP2
ENSG00000093167	3	37174564	LRRFIP2
ENSG00000093167	3	37176337	LRRFIP2
ENSG00000093167	3	37175189	LRRFIP2
ENSG00000093167	3	37176308	LRRFIP2
ENSG00000175325	5	177996242	PROP1
ENSG00000167395	16	31074422	ZNF646
ENSG00000167395	16	31075902	ZNF646
ENSG00000183770	3	138947137	FOXL2
ENSG00000183770	3	138947140	FOXL2
ENSG00000176024	19	51927220	ZNF613
ENSG00000176024	19	51927435	ZNF613
ENSG00000179965	16	30407297	ZNF771
ENSG00000179965	16	30407414	ZNF771
ENSG00000166823	15	89751310	MESP1
ENSG00000113580	5	143403700	NR3C1
ENSG00000113580	5	143403329	NR3C1
ENSG00000113580	5	143434702	NR3C1
ENSG00000113580	5	143404129	NR3C1
ENSG00000113580	5	143403689	NR3C1
ENSG00000113580	5	143404544	NR3C1
ENSG00000113580	5	143435512	NR3C1
ENSG00000113580	5	143400852	NR3C1
ENSG00000256683	19	51986826	ZNF350
ENSG00000188095	15	89760591	MESP2
ENSG00000188095	15	89776358	MESP2
ENSG00000184939	16	68539213	ZFP90
ENSG00000184939	16	68539284	ZFP90
ENSG00000184939	16	68539758	ZFP90
ENSG00000184939	16	68539316	ZFP90
ENSG00000142700	1	50421632	DMRTA2
ENSG00000142700	1	50423500	DMRTA2
ENSG00000197619	19	52008081	ZNF615
ENSG00000197619	19	52008196	ZNF615
ENSG00000197619	19	52008230	ZNF615
ENSG00000197619	19	52008202	ZNF615
ENSG00000197619	19	52003711	ZNF615
ENSG00000234674	CHR_HSCHR6_MHC_SSTO_CTG1	31153422	TCF19
ENSG00000234674	CHR_HSCHR6_MHC_SSTO_CTG1	31153427	TCF19
ENSG00000116990	1	39902013	MYCL
ENSG00000116990	1	39901882	MYCL
ENSG00000116990	1	39901919	MYCL
ENSG00000116990	1	39902256	MYCL
ENSG00000142065	19	36379199	ZFP14
ENSG00000181007	19	36418656	ZFP82
ENSG00000173153	11	64305572	ESRRA
ENSG00000173153	11	64305578	ESRRA
ENSG00000173153	11	64306227	ESRRA
ENSG00000173153	11	64306446	ESRRA
ENSG00000187821	4	185018841	HELT
ENSG00000197114	20	63707465	ZGPAT
ENSG00000197114	20	63708035	ZGPAT
ENSG00000197114	20	63708053	ZGPAT
ENSG00000197114	20	63708086	ZGPAT
ENSG00000197114	20	63708090	ZGPAT
ENSG00000237582	CHR_HSCHR6_MHC_SSTO_CTG1	31165590	POU5F1
ENSG00000237582	CHR_HSCHR6_MHC_SSTO_CTG1	31161159	POU5F1
ENSG00000168286	16	67842082	THAP11
ENSG00000102901	16	67847458	CENPT
ENSG00000102901	16	67835338	CENPT
ENSG00000137310	6	31158542	TCF19
ENSG00000137310	6	31158547	TCF19
ENSG00000115297	2	74514484	TLX2
ENSG00000273154	20	63708864	AL121845.3
ENSG00000226384	CHR_HSCHR6_MHC_DBB_CTG1	30898895	GTF2H4
ENSG00000226384	CHR_HSCHR6_MHC_DBB_CTG1	30898932	GTF2H4
ENSG00000130584	20	63831214	ZBTB46
ENSG00000130584	20	63790923	ZBTB46
ENSG00000130584	20	63831244	ZBTB46
ENSG00000186017	19	36489561	ZNF566
ENSG00000186017	19	36489506	ZNF566
ENSG00000186017	19	36489435	ZNF566
ENSG00000129514	14	37595034	FOXA1
ENSG00000183309	8	143649660	ZNF623
ENSG00000142556	19	52028349	ZNF614
ENSG00000142556	19	52028570	ZNF614
ENSG00000188283	19	37218190	ZNF383
ENSG00000188283	19	37218280	ZNF383
ENSG00000188283	19	37226464	ZNF383
ENSG00000267281	12	53625979	AC023509.3
ENSG00000165643	9	135699528	SOHLH1
ENSG00000170653	12	53626370	ATF7
ENSG00000170653	12	53626407	ATF7
ENSG00000170653	12	53626000	ATF7
ENSG00000170653	12	53625996	ATF7
ENSG00000170653	12	53626410	ATF7
ENSG00000165030	9	91423862	NFIL3
ENSG00000101190	20	62861763	TCFL5
ENSG00000197050	19	37078435	ZNF420
ENSG00000197050	19	37078480	ZNF420
ENSG00000148513	10	37125788	ANKRD30A
ENSG00000176946	2	241617501	THAP4
ENSG00000176946	2	241637449	THAP4
ENSG00000254004	19	36528660	ZNF260
ENSG00000254004	19	36528268	ZNF260
ENSG00000254004	19	36525299	ZNF260
ENSG00000197608	19	52094105	ZNF841
ENSG00000197608	19	52095765	ZNF841
ENSG00000197608	19	52084888	ZNF841
ENSG00000161298	19	36605319	ZNF382
ENSG00000161298	19	36605335	ZNF382
ENSG00000161298	19	36608420	ZNF382
ENSG00000256087	19	52048561	ZNF432
ENSG00000256087	19	52048820	ZNF432
ENSG00000197780	1	109075971	TAF13
ENSG00000197780	1	109076002	TAF13
ENSG00000187801	1	40450107	ZFP69B
ENSG00000187801	1	40450665	ZFP69B
ENSG00000198440	19	56404332	ZNF583
ENSG00000198440	19	56404014	ZNF583
ENSG00000142539	19	50415799	AC020909.1
ENSG00000196458	12	132956306	ZNF605
ENSG00000283039	1	44141631	KLF18
ENSG00000065970	12	8032703	FOXJ2
ENSG00000065970	12	8033360	FOXJ2
ENSG00000054598	6	1609972	FOXC1
ENSG00000054598	6	1610067	FOXC1
ENSG00000132485	1	71081297	ZRANB2
ENSG00000132485	1	71081011	ZRANB2
ENSG00000132485	1	71081289	ZRANB2
ENSG00000213347	5	177311898	MXD3
ENSG00000213347	5	177311895	MXD3
ENSG00000213347	5	177312309	MXD3
ENSG00000213347	5	177312757	MXD3
ENSG00000164853	7	1232907	UNCX
ENSG00000269699	19	56840726	ZIM2
ENSG00000269699	19	56836078	ZIM2
ENSG00000269699	19	56840729	ZIM2
ENSG00000127903	19	56671760	ZNF835
ENSG00000160229	19	20776425	ZNF66
ENSG00000131848	19	56228290	ZSCAN5A
ENSG00000131848	19	56228311	ZSCAN5A
ENSG00000131848	19	56368383	ZSCAN5A
ENSG00000131848	19	56314788	ZSCAN5A
ENSG00000131848	19	56314513	ZSCAN5A
ENSG00000156273	21	29298871	BACH1
ENSG00000156273	21	29299416	BACH1
ENSG00000156273	21	29327129	BACH1
ENSG00000156273	21	29327276	BACH1
ENSG00000171223	19	12791496	JUNB
ENSG00000173145	10	94362939	NOC3L
ENSG00000143257	1	161238101	NR1I3
ENSG00000143257	1	161238302	NR1I3
ENSG00000143257	1	161238163	NR1I3
ENSG00000143257	1	161238111	NR1I3
ENSG00000143257	1	161236565	NR1I3
ENSG00000143257	1	161238203	NR1I3
ENSG00000143257	1	161238244	NR1I3
ENSG00000143257	1	161238210	NR1I3
ENSG00000197213	19	56197920	ZSCAN5B
ENSG00000197213	19	56197793	ZSCAN5B
ENSG00000197213	19	56197815	ZSCAN5B
ENSG00000197213	19	56193052	ZSCAN5B
ENSG00000197134	19	22052489	ZNF257
ENSG00000160321	19	22010943	ZNF208
ENSG00000090612	12	133181409	ZNF268
ENSG00000090612	12	133181474	ZNF268
ENSG00000090612	12	133181511	ZNF268
ENSG00000090612	12	133181620	ZNF268
ENSG00000198521	19	21852017	ZNF43
ENSG00000198521	19	21852028	ZNF43
ENSG00000198521	19	21836208	ZNF43
ENSG00000198521	19	21851968	ZNF43
ENSG00000167685	19	56132599	ZNF444
ENSG00000167685	19	56140951	ZNF444
ENSG00000167685	19	56141187	ZNF444
ENSG00000167685	19	56141303	ZNF444
ENSG00000167685	19	56141321	ZNF444
ENSG00000167685	19	56141727	ZNF444
ENSG00000167685	19	56146088	ZNF444
ENSG00000197020	19	21767628	ZNF100
ENSG00000214029	12	133130473	ZNF891
ENSG00000111269	12	12611892	CREBL2
ENSG00000206315	CHR_HSCHR6_MHC_QBL_CTG1	32147792	PBX2
ENSG00000170162	6	117265558	VGLL2
ENSG00000170162	6	117265574	VGLL2
ENSG00000232040	6	28587335	ZBED9
ENSG00000196387	12	133079838	ZNF140
ENSG00000196387	12	133080882	ZNF140
ENSG00000185002	6	116877260	RFX6
ENSG00000007237	17	10026285	GAS7
ENSG00000007237	17	10114553	GAS7
ENSG00000007237	17	10198551	GAS7
ENSG00000007237	17	10036747	GAS7
ENSG00000007237	17	9959462	GAS7
ENSG00000007237	17	10020142	GAS7
ENSG00000007237	17	10020002	GAS7
ENSG00000164600	7	31340894	NEUROD6
ENSG00000126804	14	64503985	ZBTB1
ENSG00000126804	14	64504574	ZBTB1
ENSG00000256771	19	19865905	ZNF253
ENSG00000256771	19	19865907	ZNF253
ENSG00000186051	9	105662457	TAL2
ENSG00000073614	12	389454	KDM5A
ENSG00000036549	1	77682658	AC118549.1
ENSG00000147180	X	85244032	ZNF711
ENSG00000147180	X	85244084	ZNF711
ENSG00000147180	X	85244765	ZNF711
ENSG00000010244	17	32350117	ZNF207
ENSG00000010244	17	32350132	ZNF207
ENSG00000010244	17	32350138	ZNF207
ENSG00000141002	16	89873570	TCF25
ENSG00000141002	16	89873612	TCF25
ENSG00000182318	19	58327019	ZSCAN22
ENSG00000122386	16	3112560	ZNF205
ENSG00000122386	16	3112573	ZNF205
ENSG00000122386	16	3112579	ZNF205
ENSG00000006377	7	97005548	DLX6
ENSG00000267022	19	44025354	AC067968.1
ENSG00000171532	17	39607943	NEUROD2
ENSG00000159905	19	43951223	ZNF221
ENSG00000159905	19	43951245	ZNF221
ENSG00000159905	19	43960276	ZNF221
ENSG00000159905	19	43962723	ZNF221
ENSG00000185668	1	38046794	POU3F1
ENSG00000179195	12	123973123	ZNF664
ENSG00000179195	12	123973212	ZNF664
ENSG00000179195	12	123973215	ZNF664
ENSG00000179195	12	123973295	ZNF664
ENSG00000180532	19	57668935	ZSCAN4
ENSG00000180532	19	57670242	ZSCAN4
ENSG00000204335	2	170715351	SP5
ENSG00000143190	1	167220829	POU2F1
ENSG00000143190	1	167220891	POU2F1
ENSG00000143190	1	167220898	POU2F1
ENSG00000143190	1	167329044	POU2F1
ENSG00000143190	1	167329166	POU2F1
ENSG00000143190	1	167371980	POU2F1
ENSG00000133740	8	85177225	E2F5
ENSG00000133740	8	85177387	E2F5
ENSG00000133740	8	85177612	E2F5
ENSG00000133740	8	85187685	E2F5
ENSG00000133740	8	85206163	E2F5
ENSG00000133740	8	85209213	E2F5
ENSG00000131845	19	57351492	ZNF304
ENSG00000131845	19	57351307	ZNF304
ENSG00000181450	1	227563543	ZNF678
ENSG00000181450	1	227650992	ZNF678
ENSG00000273706	17	36937475	LHX1
ENSG00000182983	3	42905731	ZNF662
ENSG00000182983	3	42906166	ZNF662
ENSG00000164458	6	166168619	TBXT
ENSG00000164458	6	166168700	TBXT
ENSG00000164458	6	166167877	TBXT
ENSG00000164458	6	166168671	TBXT
ENSG00000204524	19	57240685	ZNF805
ENSG00000204524	19	57240892	ZNF805
ENSG00000197714	19	57280051	ZNF460
ENSG00000197714	19	57280485	ZNF460
ENSG00000196588	22	40533635	MRTFA
ENSG00000158711	1	205631893	ELK4
ENSG00000158711	1	205631962	ELK4
ENSG00000158711	1	205625667	ELK4
ENSG00000177551	1	115841126	NHLH2
ENSG00000177551	1	115843917	NHLH2
ENSG00000273274	1	32465069	ZBTB8B
ENSG00000100644	14	61695540	HIF1A
ENSG00000100644	14	61695777	HIF1A
ENSG00000100644	14	61697622	HIF1A
ENSG00000185697	8	66613249	MYBL1
ENSG00000185697	8	66612907	MYBL1
ENSG00000144852	3	119780484	NR1I2
ENSG00000144852	3	119782710	NR1I2
ENSG00000144852	3	119807251	NR1I2
ENSG00000120798	12	95073703	NR2C1
ENSG00000120798	12	95073580	NR2C1
ENSG00000120798	12	95073537	NR2C1
ENSG00000120798	12	95073628	NR2C1
ENSG00000174332	1	53734204	GLIS1
ENSG00000124766	6	21592768	SOX4
ENSG00000157429	16	71489338	ZNF19
ENSG00000157429	16	71489276	ZNF19
ENSG00000105866	7	21428034	SP4
ENSG00000112561	6	41735060	TFEB
ENSG00000112561	6	41735608	TFEB
ENSG00000112561	6	41734401	TFEB
ENSG00000112561	6	41735527	TFEB
ENSG00000064489	19	19192138	BORCS8-MEF2B
ENSG00000126746	12	6689510	ZNF384
ENSG00000126746	12	6689292	ZNF384
ENSG00000126746	12	6689454	ZNF384
ENSG00000109320	4	102501329	NFKB1
ENSG00000109320	4	102501331	NFKB1
ENSG00000109320	4	102501455	NFKB1
ENSG00000109320	4	102501472	NFKB1
ENSG00000109320	4	102501898	NFKB1
ENSG00000109320	4	102503375	NFKB1
ENSG00000109320	4	102577714	NFKB1
ENSG00000109320	4	102577864	NFKB1
ENSG00000168310	4	184474580	IRF2
ENSG00000168310	4	184418590	IRF2
ENSG00000168310	4	184418631	IRF2
ENSG00000168310	4	184474049	IRF2
ENSG00000168310	4	184474048	IRF2
ENSG00000168310	4	184474186	IRF2
ENSG00000104976	19	7920316	SNAPC2
ENSG00000187792	22	23751092	ZNF70
ENSG00000167766	19	52637086	ZNF83
ENSG00000167766	19	52618040	ZNF83
ENSG00000167766	19	52638385	ZNF83
ENSG00000167766	19	52638391	ZNF83
ENSG00000142684	1	26169871	ZNF593
ENSG00000198633	19	52431414	ZNF534
ENSG00000075407	10	38094347	ZNF37A
ENSG00000075407	10	38094336	ZNF37A
ENSG00000127528	19	16324817	KLF2
ENSG00000105698	19	35268978	USF2
ENSG00000105698	19	35269065	USF2
ENSG00000105698	19	35269102	USF2
ENSG00000197363	8	144798876	ZNF517
ENSG00000197363	8	144802870	ZNF517
ENSG00000048405	7	127392691	ZNF800
ENSG00000048405	7	127392694	ZNF800
ENSG00000048405	7	127392366	ZNF800
ENSG00000225553	CHR_HSCHR6_MHC_SSTO_CTG1	33551153	PHF1
ENSG00000221923	19	52369939	ZNF880
ENSG00000221923	19	52369951	ZNF880
ENSG00000155508	5	154858249	CNOT8
ENSG00000155508	5	154858252	CNOT8
ENSG00000155508	5	154858517	CNOT8
ENSG00000155508	5	154858546	CNOT8
ENSG00000155508	5	154858627	CNOT8
ENSG00000155508	5	154858652	CNOT8
ENSG00000198315	6	28141910	ZKSCAN8
ENSG00000198315	6	28141938	ZKSCAN8
ENSG00000198315	6	28142211	ZKSCAN8
ENSG00000082175	11	101130524	PGR
ENSG00000082175	11	101129727	PGR
ENSG00000082175	11	101129070	PGR
ENSG00000082175	11	101127088	PGR
ENSG00000082175	11	101129813	PGR
ENSG00000167635	19	36215133	ZNF146
ENSG00000167635	19	36214602	ZNF146
ENSG00000096654	6	27472681	ZNF184
ENSG00000096654	6	27473118	ZNF184
ENSG00000111145	12	96194382	ELK3
ENSG00000111145	12	96194402	ELK3
ENSG00000111145	12	96194545	ELK3
ENSG00000111145	12	96194614	ELK3
ENSG00000124613	6	27388718	ZNF391
ENSG00000089902	14	102592661	RCOR1
ENSG00000125740	19	45467995	FOSB
ENSG00000125740	19	45467996	FOSB
ENSG00000125740	19	45468435	FOSB
ENSG00000125740	19	45469876	FOSB
ENSG00000125740	19	45469913	FOSB
ENSG00000125740	19	45470265	FOSB
ENSG00000167967	16	2223566	E4F1
ENSG00000132024	19	13906201	CC2D1A
ENSG00000166860	12	57006446	ZBTB39
ENSG00000158773	1	161044941	USF1
ENSG00000158773	1	161045977	USF1
ENSG00000166704	19	58003349	ZNF606
ENSG00000112658	6	43171299	SRF
ENSG00000213762	19	57614251	ZNF134
ENSG00000179909	19	57709168	ZNF154
ENSG00000179909	19	57709194	ZNF154
ENSG00000127337	12	69359703	YEATS4
ENSG00000174586	19	58362754	ZNF497
ENSG00000174586	19	58362848	ZNF497
ENSG00000176293	19	58059239	ZNF135
ENSG00000176293	19	58059244	ZNF135
ENSG00000176293	19	58059269	ZNF135
ENSG00000169554	2	144520395	ZEB2
ENSG00000169554	2	144517825	ZEB2
ENSG00000169554	2	144520119	ZEB2
ENSG00000169554	2	144517551	ZEB2
ENSG00000126767	X	47650488	ELK1
ENSG00000126767	X	47650591	ELK1
ENSG00000165495	11	125164706	PKNOX2
ENSG00000188295	1	247104368	ZNF669
ENSG00000188295	1	247104372	ZNF669
ENSG00000136944	9	126614443	LMX1B
ENSG00000159917	19	44305025	ZNF235
ENSG00000111704	12	7789396	NANOG
ENSG00000111704	12	7789615	NANOG
ENSG00000007866	6	35496950	TEAD3
ENSG00000007866	6	35497076	TEAD3
ENSG00000007866	6	35497064	TEAD3
ENSG00000135899	2	230225729	SP110
ENSG00000135899	2	230220112	SP110
ENSG00000135899	2	230219950	SP110
ENSG00000135899	2	230219951	SP110
ENSG00000139445	12	109286723	FOXN4
ENSG00000139445	12	109309220	FOXN4
ENSG00000227059	12	133236095	ANHX
ENSG00000227059	12	133235836	ANHX
ENSG00000229676	19	22634324	ZNF492
ENSG00000268133	19	57363566	AC003002.1
ENSG00000198300	19	56840726	PEG3
ENSG00000198300	19	56840696	PEG3
ENSG00000198300	19	56825006	PEG3
ENSG00000196867	19	56538948	ZFP28
ENSG00000196867	19	56538953	ZFP28
ENSG00000143799	1	226408073	PARP1
ENSG00000144485	2	238240124	HES6
ENSG00000144485	2	238240038	HES6
ENSG00000144485	2	238239971	HES6
ENSG00000144485	2	238240041	HES6
ENSG00000196456	7	150379335	ZNF775
ENSG00000198046	19	56477330	ZNF667
ENSG00000198046	19	56477374	ZNF667
ENSG00000256223	12	133130592	ZNF10
ENSG00000256223	12	133130627	ZNF10
ENSG00000029153	12	27332854	ARNTL2
ENSG00000029153	12	27332920	ARNTL2
ENSG00000029153	12	27333055	ARNTL2
ENSG00000029153	12	27368295	ARNTL2
ENSG00000029153	12	27368336	ARNTL2
ENSG00000179922	19	55624601	ZNF784
ENSG00000151322	14	32939243	NPAS3
ENSG00000151322	14	32939272	NPAS3
ENSG00000151322	14	32939317	NPAS3
ENSG00000151322	14	33213678	NPAS3
ENSG00000196381	19	37692322	ZNF781
ENSG00000196381	19	37692300	ZNF781
ENSG00000166716	15	84748635	ZNF592
ENSG00000166716	15	84782654	ZNF592
ENSG00000196268	19	21397129	ZNF493
ENSG00000196268	19	21397133	ZNF493
ENSG00000196268	19	21397156	ZNF493
ENSG00000124813	6	45328323	RUNX2
ENSG00000124813	6	45328330	RUNX2
ENSG00000124813	6	45328369	RUNX2
ENSG00000124813	6	45328727	RUNX2
ENSG00000124813	6	45422036	RUNX2
ENSG00000124813	6	45422099	RUNX2
ENSG00000124813	6	45422485	RUNX2
ENSG00000124813	6	45422577	RUNX2
ENSG00000124813	6	45328317	RUNX2
ENSG00000171817	19	37551406	ZNF540
ENSG00000171817	19	37594830	ZNF540
ENSG00000171817	19	37594886	ZNF540
ENSG00000171817	19	37595253	ZNF540
ENSG00000185122	8	144291591	HSF1
ENSG00000185122	8	144291598	HSF1
ENSG00000185122	8	144292580	HSF1
ENSG00000185122	8	144309458	HSF1
ENSG00000185122	8	144311766	HSF1
ENSG00000197013	19	21505564	ZNF429
ENSG00000188227	19	37506982	ZNF793
ENSG00000188227	19	37523405	ZNF793
ENSG00000118620	19	21020620	ZNF430
ENSG00000120784	19	37655412	ZFP30
ENSG00000120784	19	37656261	ZFP30
ENSG00000197841	19	34734575	ZNF181
ENSG00000197841	19	34734949	ZNF181
ENSG00000198182	19	37719790	ZNF607
ENSG00000198182	19	37719188	ZNF607
ENSG00000196705	19	21142040	ZNF431
ENSG00000182141	19	21329410	ZNF708
ENSG00000196767	X	83508261	POU3F4
ENSG00000196767	X	83508293	POU3F4
ENSG00000204231	6	33200614	RXRB
ENSG00000204231	6	33200688	RXRB
ENSG00000142025	19	41844743	DMRTC2
ENSG00000142025	19	41844946	DMRTC2
ENSG00000142025	19	41845020	DMRTC2
ENSG00000142025	19	41845055	DMRTC2
ENSG00000142025	19	41845090	DMRTC2
ENSG00000142025	19	41845325	DMRTC2
ENSG00000263002	19	44141557	ZNF234
ENSG00000263002	19	44141606	ZNF234
ENSG00000267680	19	44094392	ZNF224
ENSG00000135111	12	114684164	TBX3
ENSG00000135111	12	114683590	TBX3
ENSG00000137265	6	391739	IRF4
ENSG00000137265	6	391768	IRF4
ENSG00000121417	19	57633168	ZNF211
ENSG00000121417	19	57633186	ZNF211
ENSG00000121417	19	57633199	ZNF211
ENSG00000121417	19	57633216	ZNF211
ENSG00000121417	19	57633228	ZNF211
ENSG00000111049	12	80716912	MYF5
ENSG00000268738	X	149594716	HSFX2
ENSG00000106546	7	17132190	AHR
ENSG00000106546	7	17298622	AHR
ENSG00000106546	7	17298683	AHR
ENSG00000100968	14	24366911	NFATC4
ENSG00000100968	14	24366939	NFATC4
ENSG00000100968	14	24367260	NFATC4
ENSG00000100968	14	24367364	NFATC4
ENSG00000100968	14	24367468	NFATC4
ENSG00000100968	14	24367502	NFATC4
ENSG00000100968	14	24368020	NFATC4
ENSG00000100968	14	24368070	NFATC4
ENSG00000100968	14	24368186	NFATC4
ENSG00000100968	14	24368200	NFATC4
ENSG00000100968	14	24368341	NFATC4
ENSG00000100968	14	24368999	NFATC4
ENSG00000100968	14	24369082	NFATC4
ENSG00000100968	14	24369153	NFATC4
ENSG00000100968	14	24369167	NFATC4
ENSG00000100968	14	24372815	NFATC4
ENSG00000100968	14	24374123	NFATC4
ENSG00000144655	3	39153575	CSRNP1
ENSG00000144655	3	39154562	CSRNP1
ENSG00000184677	1	22451867	ZBTB40
ENSG00000184677	1	22451851	ZBTB40
ENSG00000176842	16	54930862	IRX5
ENSG00000176842	16	54931199	IRX5
ENSG00000140396	8	70403805	NCOA2
ENSG00000108557	17	17681473	RAI1
ENSG00000151615	4	146638893	POU4F2
ENSG00000129911	19	1863497	KLF16
ENSG00000129911	19	1863568	KLF16
ENSG00000091656	8	76681219	ZFHX4
ENSG00000231321	CHR_HSCHR6_MHC_MANN_CTG1	33354494	RXRB
ENSG00000231321	CHR_HSCHR6_MHC_MANN_CTG1	33354568	RXRB
ENSG00000237900	CHR_HSCHR6_MHC_COX_CTG1	31889536	ZBTB12
ENSG00000025434	11	47248916	NR1H3
ENSG00000025434	11	47248924	NR1H3
ENSG00000025434	11	47248927	NR1H3
ENSG00000025434	11	47248956	NR1H3
ENSG00000025434	11	47257604	NR1H3
ENSG00000025434	11	47257658	NR1H3
ENSG00000025434	11	47257697	NR1H3
ENSG00000025434	11	47257962	NR1H3
ENSG00000025434	11	47257971	NR1H3
ENSG00000025434	11	47257979	NR1H3
ENSG00000025434	11	47257998	NR1H3
ENSG00000025434	11	47260397	NR1H3
ENSG00000025434	11	47248300	NR1H3
ENSG00000205922	19	1752373	ONECUT3
ENSG00000134438	18	59273385	RAX
ENSG00000134438	18	59273393	RAX
ENSG00000170485	2	100820152	NPAS2
ENSG00000170485	2	100821025	NPAS2
ENSG00000170485	2	100925146	NPAS2
ENSG00000170485	2	100925162	NPAS2
ENSG00000176160	17	58488384	HSF5
ENSG00000196152	9	127424382	ZNF79
ENSG00000169627	16	30194306	BOLA2B
ENSG00000164532	7	35254147	TBX20
ENSG00000102804	13	44436845	TSC22D1
ENSG00000102804	13	44576565	TSC22D1
ENSG00000102804	13	44573522	TSC22D1
ENSG00000102804	13	44577147	TSC22D1
ENSG00000102804	13	44474301	TSC22D1
ENSG00000102804	13	44437254	TSC22D1
ENSG00000164900	7	151167548	GBX1
ENSG00000152475	19	58381022	ZNF837
ENSG00000152475	19	58381060	ZNF837
ENSG00000085644	16	3134923	ZNF213
ENSG00000085644	16	3135028	ZNF213
ENSG00000085644	16	3135133	ZNF213
ENSG00000085644	16	3135159	ZNF213
ENSG00000085644	16	3137404	ZNF213
ENSG00000085644	16	3135138	ZNF213
ENSG00000180828	8	64580367	BHLHE22
ENSG00000150347	10	61901300	ARID5B
ENSG00000150347	10	62049211	ARID5B
ENSG00000186272	19	57411164	ZNF17
ENSG00000186272	19	57411179	ZNF17
ENSG00000152433	19	57363566	ZNF547
ENSG00000081386	9	96778056	ZNF510
ENSG00000081386	9	96778046	ZNF510
ENSG00000112333	6	108166058	NR2E1
ENSG00000112333	6	108168023	NR2E1
ENSG00000100393	22	41091786	EP300
ENSG00000157554	21	38498442	ERG
ENSG00000157554	21	38498483	ERG
ENSG00000157554	21	38584900	ERG
ENSG00000157554	21	38584945	ERG
ENSG00000157554	21	38661694	ERG
ENSG00000157554	21	38498476	ERG
ENSG00000157554	21	38660667	ERG
ENSG00000157554	21	38661780	ERG
ENSG00000148200	9	124771277	NR6A1
ENSG00000148200	9	124771297	NR6A1
ENSG00000148200	9	124771310	NR6A1
ENSG00000148200	9	124771287	NR6A1
ENSG00000148200	9	124595808	NR6A1
ENSG00000213988	19	20078021	ZNF90
ENSG00000067646	Y	2935281	ZFY
ENSG00000067646	Y	2935389	ZFY
ENSG00000067646	Y	2935651	ZFY
ENSG00000067646	Y	2935477	ZFY
ENSG00000189120	17	47855874	SP6
ENSG00000189120	17	47851193	SP6
ENSG00000102935	16	49827010	ZNF423
ENSG00000102935	16	49856135	ZNF423
ENSG00000102935	16	49780609	ZNF423
ENSG00000102935	16	49857919	ZNF423
ENSG00000102935	16	49822738	ZNF423
ENSG00000121864	3	179322991	ZNF639
ENSG00000121864	3	179323763	ZNF639
ENSG00000121864	3	179327561	ZNF639
ENSG00000121864	3	179328294	ZNF639
ENSG00000118707	20	36573488	TGIF2
ENSG00000118707	20	36573607	TGIF2
ENSG00000118707	20	36574672	TGIF2
ENSG00000118707	20	36574554	TGIF2
ENSG00000123095	12	26125127	BHLHE41
ENSG00000123307	12	55019945	NEUROD4
ENSG00000161940	17	7023020	BCL6B
ENSG00000104177	15	48178517	MYEF2
ENSG00000104177	15	48178353	MYEF2
ENSG00000104177	15	48149326	MYEF2
ENSG00000104177	15	48159670	MYEF2
ENSG00000104177	15	48178316	MYEF2
ENSG00000104177	15	48178326	MYEF2
ENSG00000104177	15	48152280	MYEF2
ENSG00000104177	15	48178144	MYEF2
ENSG00000113430	5	1887218	IRX4
ENSG00000113430	5	1886984	IRX4
ENSG00000113430	5	1887179	IRX4
ENSG00000113430	5	1887236	IRX4
ENSG00000113430	5	1882766	IRX4
ENSG00000135903	2	222298981	PAX3
